fake_params	fake01	fake02	fake03	fake04	fake05	fake06	fake07	
C1	10000	100	150	1000000	10	0	100	
C2	200	800	150	10	10000	10	0	
C3	0	0	0	0	0	0	0	
								
								
#								
#node	msize	fake01	fake02	fake03	fake04	fake05	fake06	fake07
10	10000	1.00005E+15	1.01842E+13	1.50345E+13	1E+17	3.30259E+12	2302585093	1E+13
100	10000	1.00092E+14	1.36841E+12	1.56908E+12	1E+16	4.70517E+12	4605170186	1E+12
1000	10000	1.01382E+13	6.5262E+11	2.53616E+11	1.00001E+15	6.91776E+12	6907755279	1E+11
10000	10000	1.18421E+12	7.46827E+11	1.53155E+11	1.00009E+14	9.21134E+12	9210340372	10000000000
10	100000	1E+18	1.00184E+16	1.50035E+16	1E+20	1.23026E+15	2.30259E+11	1E+16
100	100000	1.00009E+17	1.03684E+15	1.50691E+15	1E+19	5.60517E+14	4.60517E+11	1E+15
1000	100000	1.00138E+16	1.55262E+14	1.60362E+14	1E+18	7.00776E+14	6.90776E+11	1E+14
10000	100000	1.01842E+15	8.36827E+13	2.88155E+13	1.00001E+17	9.22034E+14	9.21034E+11	1E+13
10	1000000	1E+21	1.00018E+19	1.50003E+19	1E+23	1.02303E+18	2.30259E+13	1E+19
100	1000000	1.00001E+20	1.00368E+18	1.50069E+18	1E+22	1.46052E+17	4.60517E+13	1E+18
1000	1000000	1.00014E+19	1.05526E+17	1.51036E+17	1E+21	7.90776E+16	6.90776E+13	1E+17
10000	1000000	1.00184E+18	1.73683E+16	1.63816E+16	1E+20	9.31034E+16	9.21034E+13	1E+16
10	10000000	1E+24	1.00002E+22	1.5E+22	1E+26	1.0023E+21	2.30259E+15	1E+22
100	10000000	1E+23	1.00037E+21	1.50007E+21	1E+25	1.04605E+20	4.60517E+15	1E+21
1000	10000000	1.00001E+22	1.00553E+20	1.50104E+20	1E+24	1.69078E+19	6.90776E+15	1E+20
10000	10000000	1.00018E+21	1.07368E+19	1.51382E+19	1E+23	1.02103E+19	9.21034E+15	1E+19
