fake_params	fake01	fake02	fake03	fake04	fake05	fake06	fake07	
C1	10000	7700	1000000	10	5000	0	100	
C2	20000	1100	10	10000	5000	10	0	
C3	0	0	0	0	0	0	0	
								
								
#								
#node	msize	fake01	fake02	fake03	fake04	fake05	fake06	fake07
10	10000	1.002E+15	7.7011E+14	1E+17	2E+12	5.005E+14	1000000000	1E+13
100	10000	1.04E+14	7.722E+13	1E+16	2.1E+12	5.1E+13	2000000000	1E+12
1000	10000	1.6E+13	8.03E+12	1E+15	3.01E+12	6.5E+12	3000000000	1E+11
10000	10000	9E+12	1.21E+12	1.00004E+14	4.001E+12	2.5E+12	4000000000	10000000000
10	100000	1.0002E+18	7.70011E+17	1E+20	1.1E+15	5.0005E+17	1E+11	1E+16
100	100000	1.004E+17	7.7022E+16	1E+19	3E+14	5.01E+16	2E+11	1E+15
1000	100000	1.06E+16	7.733E+15	1E+18	3.1E+14	5.15E+15	3E+11	1E+14
10000	100000	1.8E+15	8.14E+14	1E+17	4.01E+14	7E+14	4E+11	1E+13
10	1000000	1.00002E+21	7.70001E+20	1E+23	1.01E+18	5.00005E+20	1E+13	1E+19
100	1000000	1.0004E+20	7.70022E+19	1E+22	1.2E+17	5.001E+19	2E+13	1E+18
1000	1000000	1.006E+19	7.7033E+18	1E+21	4E+16	5.015E+18	3E+13	1E+17
10000	1000000	1.08E+18	7.744E+17	1E+20	4.1E+16	5.2E+17	4E+13	1E+16
10	10000000	1E+24	7.7E+23	1E+26	1.001E+21	5.00001E+23	1E+15	1E+22
100	10000000	1.00004E+23	7.70002E+22	1E+25	1.02E+20	5.0001E+22	2E+15	1E+21
1000	10000000	1.0006E+22	7.70033E+21	1E+24	1.3E+19	5.0015E+21	3E+15	1E+20
10000	10000000	1.008E+21	7.7044E+20	1E+23	5E+18	5.02E+20	4E+15	1E+19
